k,BIC,AIC,Log_Likelihood,Convergió,Iteraciones,Certeza_prom,Entropía
2,85607.44475963575,83482.77180053772,-41278.38590026886,True,33,0.9813075447286298,0.04408803952181436
3,85452.38517676629,82263.08127488049,-40436.540637440245,True,29,0.9721343988922795,0.06981438783060764
4,85666.72720670249,81412.79236202892,-39779.39618101446,True,149,0.9700823706412087,0.07231351930733046
5,85939.40136159796,80620.83557413661,-39151.417787068305,True,57,0.9661558874659777,0.08880062903556436
6,86834.43289873724,80451.23616848812,-38834.61808424406,True,94,0.9635038480201776,0.10049016699822644
