k,BIC,AIC,Log_Likelihood,Convergió,Iteraciones,Certeza_prom,Entropía
2,166915.9404522936,164352.7356618333,-81697.36783091666,True,39,0.9825435716631985,0.042047766132147196
3,165220.02638702872,161372.54362222506,-79967.27181111253,True,48,0.9657910098568344,0.08242043159339231
4,164310.00230455853,159178.2415654115,-78630.12078270575,True,119,0.9609821712007965,0.098186085224215
5,164202.69971256377,157786.66099907336,-77694.33049953668,True,80,0.9600040357318046,0.10094205924212041
6,164229.92560310662,156529.60891527284,-76825.80445763642,True,146,0.9561319245003125,0.10660143402997681
