k,BIC,AIC,Log_Likelihood,Convergió,Iteraciones,Certeza_prom,Entropía
2,78305.03980700337,76552.944153112,-37905.472076556,True,40,0.9850361532442736,0.03687038549408861
3,77918.91496216985,75288.41016643537,-37087.20508321768,True,198,0.9618124990949457,0.09413537500010144
4,77995.04064862459,74486.12671104699,-36500.063355523496,True,91,0.9633404284679798,0.09225380413002458
5,78422.16268131748,74034.83960189678,-36088.41980094839,True,124,0.9593769590426586,0.11227943437512873
6,79067.47724297989,73801.74502171607,-35785.87251085803,True,277,0.9565143124959596,0.1162648695588741
