question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan,cnt_0_NO,pct_0_NO,cnt_1,pct_1,cnt_2_SI,pct_2_SI,cnt_3_AV/A,pct_3_AV/A,cnt_4,pct_4,cnt_5,pct_5,cnt_6,pct_6,cnt_7_NR,pct_7_NR,cnt_8_NA,pct_8_NA,cnt_9_NS,pct_9_NS,cnt_10,pct_10,cnt_11,pct_11,cnt_12,pct_12,cnt_13,pct_13,cnt_14,pct_14,cnt_15,pct_15,cnt_16,pct_16,cnt_17,pct_17,cnt_18,pct_18,cnt_66,pct_66
pga019,200,12.836970474967908,12,0.7702182284980745,1358,87.16302952503209,148,9.499358151476251,12,0.7702182284980745,40,2.5673940949935816,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga019a,52,3.3376123234916557,6,0.38510911424903727,1506,96.66238767650835,0,0.0,6,0.38510911424903727,34,2.1822849807445444,12,0.7702182284980745,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga020,203,13.029525032092426,21,1.3478818998716302,1355,86.97047496790758,75,4.813863928112965,21,1.3478818998716302,107,6.867779204107831,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga020a,128,8.21566110397946,40,2.5673940949935816,1430,91.78433889602053,0,0.0,40,2.5673940949935816,59,3.7869062901155326,29,1.8613607188703467,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga021,203,13.029525032092426,0,0.0,1355,86.97047496790758,179,11.489088575096277,0,0.0,24,1.540436456996149,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga021a,179,11.489088575096277,0,0.0,1379,88.51091142490372,176,11.296534017971759,0,0.0,3,0.19255455712451863,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga022,27,1.7329910141206675,0,0.0,1531,98.26700898587933,27,1.7329910141206675,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga022a,24,1.540436456996149,0,0.0,1534,98.45956354300385,24,1.540436456996149,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga023,1556,99.87163029525033,0,0.0,2,0.12836970474967907,1120,71.88703465982029,0,0.0,435,27.9204107830552,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga023a,435,27.9204107830552,0,0.0,1123,72.07958921694481,109,6.996148908857509,0,0.0,326,20.92426187419769,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga023b,326,20.92426187419769,0,0.0,1232,79.0757381258023,134,8.600770218228499,0,0.0,192,12.323491655969192,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga023c,326,20.92426187419769,0,0.0,1232,79.0757381258023,118,7.573812580231065,0,0.0,208,13.350449293966623,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga024,1556,99.87163029525033,0,0.0,2,0.12836970474967907,941,60.397946084724005,0,0.0,613,39.345314505776635,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12836970474967907,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga024a,613,39.345314505776635,0,0.0,945,60.65468549422336,351,22.528883183568677,0,0.0,262,16.816431322207958,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga024b,613,39.345314505776635,0,0.0,945,60.65468549422336,294,18.870346598202826,0,0.0,319,20.474967907573813,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga025,1556,99.87163029525033,0,0.0,2,0.12836970474967907,1118,71.7586649550706,0,0.0,436,27.984595635430036,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12836970474967907,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga025a,436,27.984595635430036,0,0.0,1122,72.01540436456996,282,18.10012836970475,0,0.0,153,9.82028241335045,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga025b,436,27.984595635430036,0,0.0,1122,72.01540436456996,255,16.367137355584084,0,0.0,180,11.553273427471117,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga026,1556,99.87163029525033,0,0.0,2,0.12836970474967907,1113,71.4377406931964,0,0.0,440,28.241335044929393,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.19255455712451863,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga026a,440,28.241335044929393,0,0.0,1118,71.7586649550706,277,17.77920410783055,0,0.0,163,10.462130937098845,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga026b,440,28.241335044929393,0,0.0,1118,71.7586649550706,213,13.671373555840821,0,0.0,227,14.569961489088575,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga027,1556,99.87163029525033,0,0.0,2,0.12836970474967907,1214,77.92041078305519,0,0.0,340,21.822849807445444,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12836970474967907,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga027a,340,21.822849807445444,0,0.0,1218,78.17715019255456,196,12.58023106546855,0,0.0,143,9.178433889602054,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga027b,143,9.178433889602054,0,0.0,1415,90.82156611039794,62,3.979460847240052,0,0.0,81,5.198973042362002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga027c,278,17.84338896020539,0,0.0,1280,82.15661103979461,143,9.178433889602054,0,0.0,135,8.664955070603337,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
