question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan,cnt_0_NO,pct_0_NO,cnt_1,pct_1,cnt_2_SI,pct_2_SI,cnt_3_AV/A,pct_3_AV/A,cnt_4,pct_4,cnt_5,pct_5,cnt_6,pct_6,cnt_7_NR,pct_7_NR,cnt_8_NA,pct_8_NA,cnt_9_NS,pct_9_NS,cnt_10,pct_10,cnt_11,pct_11,cnt_12,pct_12,cnt_13,pct_13,cnt_14,pct_14,cnt_15,pct_15,cnt_16,pct_16,cnt_17,pct_17,cnt_18,pct_18,cnt_66,pct_66,cnt_88_NA,pct_88_NA,cnt_99_NS,pct_99_NS
pso015i,246,15.789473684210526,0,0.0,1312,84.21052631578947,168,10.783055198973042,0,0.0,77,4.942233632862644,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso015j,246,15.789473684210526,0,0.0,1312,84.21052631578947,147,9.435173299101413,0,0.0,99,6.354300385109115,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso016,514,32.99101412066752,0,0.0,1044,67.00898587933247,339,21.758664955070603,0,0.0,175,11.232349165596919,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso017y,514,32.99101412066752,380,24.390243902439025,1044,67.00898587933247,0,0.0,2,0.12836970474967907,9,0.5776636713735559,31,1.989730423620026,35,2.246469833119384,53,3.4017971758664958,49,3.1450577663671373,22,1.4120667522464698,39,2.503209242618742,32,2.053915275994865,40,2.5673940949935816,33,2.1181001283697047,31,1.989730423620026,29,1.8613607188703467,12,0.7702182284980745,15,0.9627727856225932,14,0.8985879332477535,3,0.19255455712451863,1,0.06418485237483953,63,4.043645699614891,0,0.0,1,0.06418485237483953
pso017z,1,0.06418485237483953,1,0.06418485237483953,1557,99.93581514762516,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso017a,88,5.648267008985879,0,0.0,1470,94.35173299101413,35,2.246469833119384,0,0.0,53,3.4017971758664958,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso017b,460,29.52503209242619,0,0.0,1098,70.47496790757381,173,11.10397946084724,0,0.0,287,18.421052631578945,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso017c,287,18.421052631578945,0,0.0,1271,81.57894736842105,71,4.557124518613607,0,0.0,216,13.86392811296534,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso017dy,216,13.86392811296534,167,10.718870346598203,1342,86.13607188703466,0,0.0,0,0.0,0,0.0,5,0.3209242618741977,12,0.7702182284980745,14,0.8985879332477535,14,0.8985879332477535,16,1.0269576379974326,9,0.5776636713735559,10,0.6418485237483954,17,1.0911424903722722,16,1.0269576379974326,16,1.0269576379974326,15,0.9627727856225932,18,1.1553273427471118,16,1.0269576379974326,10,0.6418485237483954,13,0.8344030808729139,3,0.19255455712451863,3,0.19255455712451863,8,0.5134788189987163,1,0.06418485237483953
pso017dz,1,0.06418485237483953,0,0.0,1557,99.93581514762516,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953
pso017e,86,5.5198973042362,0,0.0,1472,94.4801026957638,32,2.053915275994865,0,0.0,54,3.465982028241335,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso018,514,32.99101412066752,48,3.080872913992298,1044,67.00898587933247,387,24.8395378690629,48,3.080872913992298,79,5.070603337612323,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso018a,127,8.15147625160462,34,2.1822849807445444,1431,91.84852374839538,0,0.0,34,2.1822849807445444,74,4.7496790757381255,19,1.2195121951219512,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso019,514,32.99101412066752,34,2.1822849807445444,1044,67.00898587933247,397,25.481386392811295,34,2.1822849807445444,83,5.327342747111682,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso019a,117,7.509627727856226,27,1.7329910141206675,1441,92.49037227214377,0,0.0,27,1.7329910141206675,65,4.17201540436457,25,1.6046213093709885,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso020,514,32.99101412066752,35,2.246469833119384,1044,67.00898587933247,368,23.62002567394095,35,2.246469833119384,111,7.124518613607189,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso020a,146,9.370988446726573,33,2.1181001283697047,1412,90.62901155327343,0,0.0,33,2.1181001283697047,88,5.648267008985879,25,1.6046213093709885,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso021,504,32.34916559691913,33,2.1181001283697047,1054,67.65083440308088,288,18.48523748395379,33,2.1181001283697047,183,11.745827984595635,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso021a,216,13.86392811296534,154,9.884467265725288,1342,86.13607188703466,0,0.0,154,9.884467265725288,50,3.209242618741977,12,0.7702182284980745,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso022,504,32.34916559691913,28,1.797175866495507,1054,67.65083440308088,393,25.22464698331194,28,1.797175866495507,82,5.263157894736842,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso022a,110,7.060333761232348,26,1.6688061617458279,1448,92.93966623876764,0,0.0,26,1.6688061617458279,62,3.979460847240052,22,1.4120667522464698,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso023,514,32.99101412066752,55,3.530166880616174,1044,67.00898587933247,194,12.45186136071887,55,3.530166880616174,264,16.944801026957638,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso023a,319,20.474967907573813,142,9.114249037227214,1239,79.52503209242619,0,0.0,142,9.114249037227214,134,8.600770218228499,43,2.7599486521181,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso024,514,32.99101412066752,0,0.0,1044,67.00898587933247,470,30.166880616174584,0,0.0,44,2.8241335044929397,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso024a,470,30.166880616174584,0,0.0,1088,69.83311938382542,464,29.781771501925547,0,0.0,6,0.38510911424903727,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso025,50,3.209242618741977,0,0.0,1508,96.79075738125802,50,3.209242618741977,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso025a,44,2.8241335044929397,0,0.0,1514,97.17586649550705,44,2.8241335044929397,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso026,514,32.99101412066752,0,0.0,1044,67.00898587933247,361,23.170731707317074,0,0.0,145,9.306803594351733,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.5134788189987163,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso026ay,145,9.306803594351733,107,6.867779204107831,1413,90.69319640564827,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,1.9255455712451863,22,1.4120667522464698,16,1.0269576379974326,15,0.9627727856225932,7,0.4492939666238768,11,0.7060333761232349,12,0.7702182284980745,11,0.7060333761232349,7,0.4492939666238768,6,0.38510911424903727,5,0.3209242618741977,3,0.19255455712451863,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pso026az,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
