id,lca_k2_prob_class0,lca_k2_prob_class1,lca_k3_prob_class0,lca_k3_prob_class1,lca_k3_prob_class2,lca_k4_prob_class0,lca_k4_prob_class1,lca_k4_prob_class2,lca_k4_prob_class3,lca_k5_prob_class0,lca_k5_prob_class1,lca_k5_prob_class2,lca_k5_prob_class3,lca_k5_prob_class4,lca_k6_prob_class0,lca_k6_prob_class1,lca_k6_prob_class2,lca_k6_prob_class3,lca_k6_prob_class4,lca_k6_prob_class5
1,0.002087859159984768,0.9979121408400143,8.685397051686765e-12,2.142561376763467e-05,0.9999785743775487,8.859323207434503e-12,0.9999997117027764,4.2082665735794535e-08,2.4620569853532857e-07,0.19890391614774383,5.2913740585495985e-12,7.870467798515837e-05,2.2054838876186695e-10,0.8010173789484314,5.348133669189348e-13,2.4052099689999885e-11,0.997629081659644,5.443950986280092e-07,2.2109322707683998e-21,0.0023703739206672094
2,0.2736467949070854,0.7263532050929111,0.0015459470304799233,0.0036240200430605004,0.9948300329264571,1.2928159519244174e-05,3.2935427996410545e-05,0.9999541364092437,3.241736225593382e-12,7.687990493928806e-09,4.4550844708951757e-08,0.9999999475640364,7.168660060360411e-11,1.254416710276023e-10,2.0171703778104227e-08,4.684787904308098e-10,0.00018599945066956295,0.999813979898621,1.3539755370688871e-12,9.173507349521072e-12
4,0.9999967715061364,3.228493865528643e-06,0.9492204109928828,2.2537662062400936e-09,0.050779586753352736,0.9974531793949538,0.002441503634316329,0.0001053169707249277,3.3616322946161207e-15,0.05282969101757641,0.35348934488301265,0.5936809094498796,1.1085968121216038e-15,5.4649529751861194e-08,0.7176146604069602,6.772280966091961e-16,0.0011485120759721055,0.2766105910194531,0.004626230189722471,6.307890475764242e-09
5,0.9999999894267937,1.057320787841553e-08,0.9650608490201895,1.7194937721629746e-12,0.03493915097809131,0.9897770545818526,0.010222929182954608,1.6235192756090277e-08,5.604583496116136e-17,0.9069710333582179,0.09291563454311497,0.00011332394584213576,9.718028541149839e-21,8.152824694491322e-09,0.36929776288606564,7.077260912714145e-21,0.0017390482032011527,0.00020752787954187883,0.6287556597565527,1.2746412605837946e-09
8,0.9878173529981428,0.012182647001854771,9.773196194933559e-05,2.4204225523969635e-06,0.9998998476155011,0.0006207692367867973,0.9987042767836343,0.000674950997627815,2.981954279039688e-09,0.9120332304874451,1.608466552843249e-05,0.08755660924569708,6.440466666198449e-12,0.00039407559488922634,0.00014481028789978034,4.1518914613804975e-11,0.6245725666931028,0.30537892097893127,0.06968119611138444,0.00022250588716165562
11,4.6462247311487324e-07,0.9999995353775275,2.275695776435043e-11,0.5948906830503303,0.4051093169269142,9.247878840904786e-12,0.003791565845812098,0.9961659909759296,4.2443169012971384e-05,1.0373659790733928e-05,2.97121333537447e-14,0.9948145027348193,0.0001421539413399176,0.005032969664019281,7.72021530289698e-14,0.00016906041228691255,2.287171843164649e-05,0.9991027190233082,5.417623957890215e-07,0.0007048070834998898
13,0.1873911225259923,0.8126088774740068,9.118386733494588e-06,0.00014704040478239123,0.9998438412084842,2.888753973368953e-05,4.76503420567894e-05,0.9999234503620622,1.175614420615501e-08,6.713365269446701e-12,2.317757901173341e-08,0.999984426676481,6.669502165533049e-10,1.5549472274970406e-05,2.1896502516414466e-08,1.2636836416709367e-10,0.00033762366867792266,0.9996604959341339,1.394296527326466e-12,1.8583729246190181e-06
14,4.381330793524539e-06,0.9999956186692089,1.315336270432714e-11,0.04559981006832681,0.9544001899185226,7.015851158603078e-11,0.9911286722477682,0.00870827514372258,0.00016305253835323605,0.024263869735185614,1.589371304226899e-14,0.004551474879968096,8.33991571349223e-07,0.9711838213932614,1.138762971266831e-13,1.0896068100216964e-06,2.9630237476605457e-05,0.007711438614865785,0.025724228881110655,0.9665336126596209
16,1.128902061218939e-20,1.0,3.257160484574766e-33,0.9999999939962478,6.003751964198564e-09,1.3407503238707873e-33,1.953933606418744e-10,4.267754814309959e-09,0.9999999955368537,1.2422841956860676e-14,1.4118931382924294e-37,5.383669637521837e-10,0.17970814915538313,0.8202918503062339,1.5424262869645293e-37,0.026547497456242047,9.194774033897876e-16,6.120246319865977e-11,1.6803710823682137e-16,0.973452502482553
19,1.04964289534759e-09,0.9999999989503578,2.0843296339454174e-14,0.9998240356080852,0.00017596439189040925,3.2325599154337277e-16,1.2646183560431311e-08,0.9999999800392134,7.314603539295066e-09,5.661632646472299e-12,7.893323261350301e-18,0.9996030061472754,0.00039657113690062617,4.227101623102326e-07,6.172360683140233e-18,0.0009682895794997875,1.3815260318058854e-12,0.9990315737173373,3.84810737871472e-28,1.3670178216624557e-07
20,0.9999999943606639,5.6393386168592375e-09,0.9764152999405855,1.8588760449616215e-12,0.02358470005755627,0.995216148270002,0.004783820418994014,3.1311004608301115e-08,1.00092922612204e-17,0.09027700903169406,0.9093667247558814,0.00035626526670068636,2.6821334778858247e-20,9.457223523464424e-10,0.8975581797175037,1.0795854480913561e-19,0.10024261655866595,0.00019674932745226498,0.0020024543358646858,6.051313759738224e-11
23,0.9999999999774261,2.2572478583978512e-11,0.9999839737198699,1.8329954489408536e-16,1.6026280128672797e-05,0.9999983347040181,1.6648500655412525e-06,4.459154092656098e-10,3.628819515460419e-23,0.00021562520234456395,0.9997785833168462,5.791480793492414e-06,3.668073539213784e-24,1.6402605046283747e-14,0.999728270657736,7.235433284151122e-24,0.00025765648827453445,3.3601114400873306e-06,1.0712742550411921e-05,4.335609955622452e-16
26,0.9999999999999964,4.154549642241946e-15,0.9999994619326094,8.583325010076435e-22,5.380673908883553e-07,0.9999995278563527,4.7214364578107087e-07,7.140476181057384e-16,7.469190915355395e-27,0.00024274713133942658,0.9997572527887024,7.995891574094937e-11,5.288642754798535e-32,1.1166912398889643e-16,0.9999839721296209,2.624344418294223e-32,1.9091539243232236e-06,4.982271470369161e-11,1.4118666631605794e-05,2.1516205657212587e-18
29,0.9999999999999929,7.302173881396214e-15,0.999999702427761,1.4128968702990487e-21,2.975722388915381e-07,0.9999997945634378,2.0543656222338256e-07,9.256142378686626e-16,6.485256849952789e-27,0.00010508262496316959,0.9998949172435214,1.315155199468722e-10,1.8666047262560292e-31,3.8753955080659787e-17,0.9999871726833393,1.4543930905832371e-31,5.478741462546808e-07,4.6238329999677663e-11,1.2279396275184817e-05,8.690084628341181e-19
31,0.9999999999897575,1.0243582685468665e-11,0.9998492378139341,9.204484263842684e-17,0.00015076218606693321,0.9999154232725593,8.45767215692829e-05,5.8699873455678255e-12,7.217275723376885e-22,0.2903327946886376,0.709666872589251,3.327113084121112e-07,2.2115730689202557e-24,1.0804443871868246e-11,0.9107143880116462,3.3308587716070693e-25,9.731471925827488e-06,1.0967690924832621e-07,0.08927577083932824,1.9161948803575288e-13
32,1.0,2.594671572199249e-16,0.9999999854758244,5.482073920492622e-24,1.4524176063446577e-08,0.9999999899638432,1.0036156307657945e-08,2.89265005790407e-17,1.2403703925005887e-29,3.552007958331503e-06,0.9999964479891267,2.914501940014726e-12,1.0848626909999204e-34,2.1827001885578696e-19,0.9999995120698237,9.26994165688641e-35,2.4432747679203315e-08,1.8243161292355794e-12,4.634956048576231e-07,6.0905931180920545e-21
33,0.9999999999958362,4.164304959047785e-12,0.9999961436269977,5.571070785145558e-18,3.85637300223135e-06,0.9999985515822916,1.4484162284249134e-06,1.4789002778324735e-12,8.554214653585353e-24,6.905324194706283e-05,0.9999309326636611,1.4094371703951078e-08,2.546466146898678e-27,2.059847193461852e-14,0.9999969979896063,1.5420627906792985e-27,6.273170620266872e-07,9.518219041596129e-09,2.365175110717958e-06,6.057942958308046e-16
