id,lca_k2_prob_class0,lca_k2_prob_class1,lca_k3_prob_class0,lca_k3_prob_class1,lca_k3_prob_class2,lca_k4_prob_class0,lca_k4_prob_class1,lca_k4_prob_class2,lca_k4_prob_class3,lca_k5_prob_class0,lca_k5_prob_class1,lca_k5_prob_class2,lca_k5_prob_class3,lca_k5_prob_class4,lca_k6_prob_class0,lca_k6_prob_class1,lca_k6_prob_class2,lca_k6_prob_class3,lca_k6_prob_class4,lca_k6_prob_class5
1,0.07247230761899238,0.9275276923810054,6.544119003605983e-09,1.802979207624726e-06,0.9999981904766699,1.4956242271751059e-06,0.999998473764307,1.467627082736665e-09,2.914384068022322e-08,0.0,9.768444550840423e-09,1.1779491610939604e-06,0.9999987936061345,1.867626042104746e-08,1.0382365038144008e-08,0.0001249545472750712,1.2790281446567154e-08,0.0,0.999875020893247,1.3868290370074582e-09
2,0.7468544293714946,0.2531455706285077,0.0008302820410721762,1.6515173922387255e-05,0.999153202785004,0.9999647317107785,5.433130736635437e-06,9.225927485559439e-11,2.9835066222686116e-05,1.175164920867614e-308,4.740922316457792e-10,0.999980566441373,4.5304732055193855e-06,1.4902611327321637e-05,0.9999981491777635,2.5130166356386744e-08,1.5643991949956716e-06,0.0,2.612894746472963e-07,3.398273305097608e-12
3,2.3863029001297886e-23,1.0,2.8984578124526553e-43,0.9999999999395186,6.04874330937426e-11,5.2043568888523006e-09,8.03017562067309e-14,0.9999999947955587,2.1736100255681134e-42,0.0,0.9999999995091571,4.908318707347075e-10,8.015772383455925e-15,3.5633734941319422e-43,1.8172519067196344e-11,5.304415443810054e-10,2.5104226311066126e-43,0.0,4.267678084020723e-16,0.99999999945139
4,0.9999998033323914,1.9666760936307025e-07,0.9711213061338128,3.808539001364601e-12,0.028878693862377045,0.0034834881567411945,5.775900904711297e-05,3.6884081433834764e-16,0.9964587528342106,1.9752673235606078e-263,4.860181940633243e-15,0.007210266981262478,9.532228163471012e-05,0.9926944107370985,0.0029189726400392613,1.4520856517465733e-06,0.9970237162880955,0.0,5.5858986212344096e-05,7.829517178253259e-17
5,0.9999999997582449,2.417538357087889e-10,0.9985850665803012,1.3201888904265445e-16,0.0014149334196975228,4.680280989188182e-07,4.4269243124359836e-05,9.376993913926902e-21,0.9999552627287746,4.98662295214196e-230,1.3670902408532924e-19,1.1290458781876647e-06,7.949603437820638e-05,0.9999193749197405,1.709094351838493e-07,2.3103581159527783e-09,0.9999058822543604,0.0,9.394452584682834e-05,2.7529320636670622e-21
6,1.0965852803133048e-23,1.0,6.946512821617227e-36,0.9999999998136673,1.8633389230361071e-10,6.060119730467617e-09,7.590025538116953e-11,0.9999999938639803,1.162411084145738e-34,0.0,0.9999999991926174,7.985557437021778e-10,8.829299585219248e-12,2.096745065894891e-35,5.995736687775306e-09,2.3937022212147016e-16,8.183292426897122e-36,0.0,1.5330288147677786e-12,0.999999994002728
7,3.652840677045192e-16,1.0,3.297717434108789e-20,0.653659648943105,0.34634035105690175,0.9954692962372433,0.0008968214997095451,0.003633882263044387,6.315212207703477e-20,0.0,0.02866994418138666,0.9713300557840393,3.457154081370996e-11,6.526511381831079e-20,0.9977655450835525,0.0009559376772561954,2.225795756706678e-20,0.0,0.00016104369364181777,0.0011174735455535608
8,0.9998989795714219,0.0001010204285768739,0.002102811632441023,7.925614428461425e-10,0.9978971875749967,0.0014206884127113103,0.9816425048121302,1.865867220168079e-12,0.016936806773290597,6.074789387230722e-282,1.2363178679429245e-11,0.00181429183435969,0.9882848372833511,0.009900870869925795,0.0005980930504804082,9.002110440328648e-06,0.009966018489740004,0.0,0.9894268863487297,6.106217775428114e-13
9,4.779991301293874e-05,0.9999522000869935,3.5381500416575563e-10,0.0037232236455800286,0.9962767760006115,0.9999919684994236,7.499798686436314e-14,8.031500501604637e-06,6.7474666568558874e-18,0.0,6.749831277576401e-05,0.9999325016871338,9.263711790151807e-14,5.3905711649310606e-18,1.4161058762152839e-18,0.9999999999122053,1.29430479201538e-22,0.0,4.72940990454936e-27,8.779302435580472e-11
10,2.0341356548567207e-13,0.9999999999997939,7.185670118122513e-17,0.0728385037501719,0.927161496249822,0.999992719948434,3.2954860397990474e-13,7.280051238945423e-06,5.716572438213856e-18,0.0,4.901669265816919e-05,0.9999509833070733,2.694358256393113e-13,3.709141430173091e-18,0.9999911967644081,1.1189018708083517e-11,3.416996294754438e-18,0.0,2.209126766795942e-21,8.803224405070342e-06
