Variable,Cramér's V,p-value,χ²
pso001,0.1165213925183363,0.023564187697792876,11.282682213876539
pso002,0.07338232351777715,0.34553332799541187,4.474906251445067
pso003,0.3702674804324572,1.056605234734711e-23,113.92844387167986
pso004,0.29107990368655634,1.604382273386824e-26,140.81712216875073
pso005,0.2932164945040097,5.93670940510484e-27,142.8919668230036
pga001,0.1586361246380787,3.634801603889212e-11,83.64985621358505
pga002,0.23590790285085797,1.4475729412931852e-16,92.49451919888813
pga003,0.2962870447878295,1.4029672065824177e-27,145.900353454933
pga004,0.1864325300843848,1.2759332738440533e-09,57.766280710831296
pga005,0.24009209533840573,3.0666682538373936e-17,95.8046840735049
pga023,0.37250406276498454,2.1914950822087784e-45,230.61791800240925
pga024,0.2776148547664758,7.036203067842837e-24,128.090352609613
pga025,0.2880449784704771,6.496950859966623e-26,137.89598979185976
pga026,0.257917666507648,2.92267672199136e-20,110.55877072199908
pga027,0.2652537775200863,1.4204029002924739e-21,116.93759950417854
pga028,0.2530839902888559,2.0362579099009966e-19,106.45360320556038
pga029,0.21707883000999595,1.0649316859479869e-13,78.31878904480149
psa001,0.2372168697675478,1.7093566490300054e-09,46.76190178422271
psa002,0.20719397959134747,2.3176780865998515e-17,107.02285753099699
psa003,0.24672837837256226,2.4563801584385236e-18,101.17407165801676
psa004,0.22303356586171724,1.4132490929466422e-14,82.67448063465031
psa005,0.2827755270130531,1.274213416436439e-13,66.44842090101073
psa006,0.1593526037742487,0.00030228710797326877,21.101792685924778
psa007,0.2944442113404148,3.341167165221208e-27,144.09106814970266
psa008,0.24244297920053406,1.2650990152904808e-17,97.69003014795405
psa009,0.2606368272769093,9.632351261730867e-21,112.90224562820185
psa010,0.40295091918467113,3.435609475399092e-28,134.92900735884203
psa011,0.10248746529060439,0.06825413653588919,8.72855853014675
psa012,0.06981106329214426,0.39928822256761376,4.04994876768119
pmd001,0.49653009660089636,3.359781821850815e-43,204.87651570614176
pmd002,0.4698937352920372,1.3305720399057355e-38,183.48490176983032
pmd003,0.5665492780077759,1.6143646723838044e-56,266.7327881456508
pmd004,0.25278306096721687,8.119713177508433e-11,53.10029828283516
pmd005,0.2309187633690673,5.526814662823821e-09,44.31180795427232
pmd006,0.28825104394656886,3.607594534519076e-14,69.0466800634543
pmd007,0.42732972750045756,8.586199319345852e-32,151.74948838066632
pmd008,0.46763896397702925,3.1722073210351405e-38,181.72823272312218
pmd009,0.26875302719324456,2.8706666064190532e-12,60.02162557881781
pmd010,0.3625360687112016,1.067239435938359e-22,109.22032532787225
pmd011,0.40047172855162044,7.765114418158313e-28,133.273790061741
pmd012,0.48689586419054404,1.6562926902522532e-41,197.0031611122269
pmd013,0.4234107252046182,3.3692355678646036e-31,148.97888968340789
pmd014,0.3246228438934098,1.0774177943310046e-33,175.14154467211372
pmd015,0.3465453849154139,7.774429526635766e-39,199.5957357258585
pmd016,0.3702855881163858,8.318074047869624e-45,227.87917466625157
pmd017,0.3340176884904658,7.459576916477621e-36,185.42571056514205
pmd018,0.508337600238091,2.5439216600647486e-45,214.73631324294746
pmd019,0.3663189876308062,8.844826158185854e-44,223.02311636150327
pmd020,0.3307539990172114,4.2699080671118614e-35,181.8198214730884
pmd021,0.18117663392709626,5.3870170196040525e-09,54.55510459607636
pmd022,0.15947619237531477,1.2055300026313419e-06,42.26907416318621
pmd035,0.3461359755423875,8.860535801224661e-57,298.68661311674794
psz001,0.16412556929154273,4.069044035487388e-07,44.76963054714372
psz002,0.17794176550943652,1.2748797531773925e-08,52.62435791876663
psz009,0.2309958562205885,8.60499702936744e-16,88.6828002523796
psz010,0.2732422405077533,4.741622017757443e-23,124.08711716017226
psz011,0.1298489332955686,0.00046997806820402784,28.022558984431054
psz012,0.12960735700079032,0.0004900179985263247,27.918387335269777
psz013,0.11627029287990313,0.024055218351699888,11.234107016300495
psz014,0.14257332359235544,4.446041619030254e-05,33.78372762148337
pad001,0.35032869536997585,9.27198510439586e-40,203.97758375698396
pad002,0.3359786462742293,2.5920358453321502e-36,187.60930355026227
pad004,0.5002769445424196,7.224715444476873e-44,207.98020465102095
pad005,0.27955629452642183,2.9841648110525516e-24,129.88816164712892
pad006,0.35011483899277807,1.0463040302231553e-39,203.72862560264443
pad007,0.30586062529251457,1.4070912419879066e-29,155.48130013739313
pad008,0.27930980518572424,3.328707418620029e-24,129.65921360753856
pad009,0.33108663130228716,3.577313408439961e-35,182.18571004383458
pad010,0.3271559858444273,2.861183250427408e-34,177.8855869407206
pad011,0.36701413541124317,5.856090244799692e-44,223.8703622333428
pad022,0.4214914109954405,6.550285207556629e-31,147.63131293017264
pad023,0.5138927870472414,2.4555220051357946e-46,219.45529695729977
pad024,0.37644653583633864,2.005879674750451e-46,235.52533459836482
pad025,0.4202776523458828,9.639244599831231e-59,293.5645530119915
pad027,0.2571534021477612,3.983442341614367e-20,109.90452365651156
pad028,0.37167142963526645,3.6189495147667587e-45,229.58810097103816
pad029,0.3823196703278816,5.4202451145660744e-48,242.93176499120858
pad031,0.299583453145612,2.9281515131663196e-28,149.16490785255485
pad032,0.34498794971123536,1.8524444896312837e-38,197.8057312111886
pad033,0.2955301639232065,2.0050926671193684e-27,145.1558852844493
pad044,0.1689895932227637,1.251443456873202e-07,47.46253611044312
pcd001,0.22126915187153623,3.1220944030412256e-08,40.68579122062759
pcd002,0.24154998027140465,7.474301128314751e-10,48.48585255733538
pcd003,0.20117173505619027,8.871475923300536e-07,33.63062566496547
pcd004,0.11627029287990313,0.024055218351699888,11.234107016300495
pcd007,0.06973584959337921,0.40045517089016736,4.041226725082148
pcd012,0.14063076592287282,0.0024880370998741994,16.434697241288745
pcd013,0.11627029287990313,0.024055218351699888,11.234107016300495
pcd014,0.2279781593815534,9.447875065294284e-09,43.19042819980581
pcd015,0.14218043273562284,0.002114797748665877,16.79889390135073
pcd019,0.07000062969365403,0.3963529511436297,4.071973258889214
pcd020,0.1421232158920927,0.0021276088989802574,16.785376059769135
pcd021,0.1983021583195291,4.103641380714205e-11,65.35606584233311
pcd022,0.25808352478323415,2.7434549161500573e-11,55.350504890331266
pcd023,0.24558912144795675,3.4068796018264634e-10,50.12094777264435
pcd025,0.2522344079312401,9.07237203544722e-11,52.87004532841571
pcd027,0.22589573057381554,1.374906253890453e-08,42.4050001870181
pcd028,0.09914350570773289,0.08560546287224442,8.168260255660009
pcd029,0.06973584959337921,0.40045517089016736,4.041226725082148
pcd039,0.1345198207352934,0.004624213597628245,15.037428783814693
pod001,0.3516470658040394,4.394051341269455e-40,205.5157050728373
pod002,0.3376296715895382,1.0590249903908104e-36,189.45768751878998
pod003,0.34879782652339525,2.1985379353770145e-39,202.19879333473284
pod004,0.3390511478124879,4.881961136144156e-37,191.05634154438872
pod005,0.3256905479730149,6.169570279059274e-34,176.29554151075604
pod006,0.3080339287877055,4.842058809396044e-30,157.6987059346549
pod007,0.5422278482142873,1.0873571164888387e-51,244.32317372402892
pod008,0.5382404837610998,6.418439230123864e-51,240.743042056647
pod009,0.2853996307524983,2.170171595334907e-25,135.37480162634685
pod010,0.24353638887895848,8.352838448395352e-18,98.57317464103387
pod011,0.26108639319376176,8.007443703879012e-21,113.29206602956162
pod012,0.25726778492534874,3.803297328022437e-20,110.00231727257733
pal001,0.07868735567161009,0.2727108131845449,5.1453026522926795
pmj001,0.07000062969365403,0.3963529511436297,4.071973258889214
psu002,0.05644847146068089,0.6183576267092132,2.6479232720355106
psu011,0.060459889945301076,0.551546984252812,3.03763598081647
pni001,0.1440168043321779,3.336656695723059e-05,34.47127596374778
pni002,0.09160903871435662,0.13727225720627675,6.973931474534014
