Variable,Cramér's V,p-value,χ²
pso001,0.11740897812033695,0.04306502754954117,11.455225427050523
pso002,0.049547979753545426,0.8435681178294188,2.040106909353588
pso003,0.37226274924781494,3.322319113100224e-23,115.15960977083702
pso004,0.28704996805994226,1.7798018107717917e-24,136.94495107926147
pso005,0.27625502145665265,2.0598940396106688e-22,126.83858289458593
pga001,0.168414061409627,1.3111713139580233e-11,94.27959617153417
pga002,0.24036896310235742,3.391659365357715e-16,96.02577025886389
pga003,0.29352340249793535,9.340039213556967e-26,143.19125174680977
pga004,0.19562751578342938,7.486735296489473e-10,63.604947636312396
pga005,0.2450373849056408,5.997882699602972e-17,99.79199784231876
pga023,0.38577450505041266,1.965004426617183e-47,247.3421120573326
pga024,0.2815984750642564,2.0116607512695975e-23,131.7927793254513
pga025,0.28736123172804484,1.5472277269498356e-24,137.24210560543062
pga026,0.26484403890449804,2.5011123392041472e-20,116.57661053567693
pga027,0.29052768420298847,3.686984360167945e-25,140.28332924924
pga028,0.26931072012904417,3.9278957419941364e-21,120.5419747288173
pga029,0.2384395219119309,6.861722251239933e-16,94.49036012313887
psa001,0.2501070698030786,5.440839143456041e-10,51.98199702971557
psa002,0.22592604377113992,7.338335323989061e-20,127.24914509441903
psa003,0.25494460855565415,1.3343344640619866e-18,108.02460420331211
psa004,0.23313666891189325,4.597843088088333e-15,90.33419802239666
psa005,0.3060539063734652,2.3753771676867463e-15,77.83893368696644
psa006,0.16194744790730528,0.0005728180315210906,21.794616959345852
psa007,0.29167811904372226,2.180093876493442e-25,141.39651996420488
psa008,0.25414817205712936,1.823615282333125e-18,107.35072956428715
psa009,0.2800230486459183,4.015039061316644e-23,130.3222527186501
psa010,0.3871266754153678,3.425969133598385e-25,124.53952920188725
psa011,0.13820044329182188,0.00722047446924651,15.871570259152596
psa012,0.09355925060950429,0.2010456518335248,7.2740200343025965
pmd001,0.5247855107112595,1.8798517047392626e-47,228.8572606018087
pmd002,0.4823676376407577,7.48829430434454e-40,193.35586494763714
pmd003,0.5928755706651687,5.004427860693643e-61,292.09769854427765
pmd004,0.2681360055486269,1.371362142890148e-11,59.74633841887739
pmd005,0.23199525016229336,1.6494580685350708e-08,44.72591255732588
pmd006,0.316104239708598,1.9429632652074657e-16,83.03509089061492
pmd007,0.43838775453469725,1.1441433064467992e-32,159.70475718388434
pmd008,0.483710077016932,4.404957852692474e-40,194.43358948302054
pmd009,0.2759902169080634,2.5257002684749483e-12,63.29776845786566
pmd010,0.36536705954822934,2.602300948358673e-22,110.93275629662598
pmd011,0.4242868420253506,1.6274495447885663e-30,149.59605850646705
pmd012,0.5133966818258154,2.39533807542469e-45,219.03178306800854
pmd013,0.45226422010165684,7.385842946036617e-35,169.97517049563686
pmd014,0.3418155413462106,2.6300695449813018e-36,194.1845304762446
pmd015,0.3594881811422946,1.319539009543233e-40,214.783172457214
pmd016,0.36244459613358787,2.3896412941226893e-41,218.33043371282264
pmd017,0.3160969379414308,1.810969544218899e-30,166.06250968042684
pmd018,0.59991506152228,1.5829284630209648e-62,299.0753053453045
pmd019,0.36910762712258516,4.8072405157893195e-43,226.43161194490864
pmd020,0.30252396282331817,1.373060636980881e-27,152.10748331282312
pmd021,0.16926284133411038,7.292803514565198e-07,47.61614951669672
pmd022,0.12884173925123146,0.0020994168671288685,27.589522051195218
pmd035,0.34610964041211045,1.0708597455082359e-54,298.6411647831976
psz001,0.14293838799873415,0.00018782434970822362,33.95695815323062
psz002,0.18080644029731668,4.207319834440143e-08,54.332390233664626
psz009,0.2274112263956121,3.3872300085192145e-14,85.95176911043704
psz010,0.26812134875326404,6.4526095277227466e-21,119.47961382638181
psz011,0.11418091214503677,0.016888437145537512,21.667960520529068
psz012,0.12101290006543455,0.0067507814939433254,24.338530734494263
psz013,0.0853227245634764,0.3014174251650471,6.049652848682867
psz014,0.08887896340482435,0.216552871969524,13.128919365892566
pad001,0.4335704916233608,3.655147775567611e-61,312.42836294524085
pad002,0.35015407761287903,2.633037136416204e-38,203.7742933505552
pad004,0.536895654096859,9.628031061165218e-50,239.54151995550615
pad005,0.28505215043811405,4.354764051856758e-24,135.04535871613152
pad006,0.37470536176572666,1.7024162451942183e-44,233.35162772200556
pad007,0.3393387999237086,1.008835070544243e-35,191.38066472414744
pad008,0.306434095514123,2.100756646975071e-28,156.06488283309446
pad009,0.3323899687621377,4.142820642690838e-34,183.6228977966009
pad010,0.32401647546921564,3.260702414779983e-32,174.4878561360691
pad011,0.37319230402030934,4.2220989749320694e-44,231.47088798633837
pad022,0.40518881798383466,1.0254069759156422e-27,136.43189990010293
pad023,0.5102313471896478,9.037769576700083e-45,216.3392389812742
pad024,0.3719018293470148,9.132986367449587e-44,229.87283325629247
pad025,0.3962509230265766,2.684931164954425e-50,260.95858762702596
pad027,0.23804288483817077,7.924703126196913e-16,94.17625776669468
pad028,0.3699603063710684,2.9000591707014556e-43,227.47898421827054
pad029,0.3580902265697677,2.9447375647243687e-40,213.11595042627692
pad031,0.3133881952057426,6.978386823191575e-30,163.22861140634762
pad032,0.3314730260561779,6.7219197637311445e-34,182.61119795871937
