Variable,Cramér's V,p-value,χ²
pso001,0.07568280140092819,0.21502106817251126,8.328346866155458
pso002,0.07437482760084299,0.2349722240685119,8.042968181872538
pso003,0.19466177916447933,4.4316267051755274e-10,55.09672482091667
pso004,0.2227891417178282,1.4665984676322287e-13,72.16929242435096
pso005,0.5900849451188143,1.1467632258625732e-157,759.4247287962612
pga001,0.5910058608246395,3.5405961689064043e-158,761.7969699409086
pga002,0.5960136174539232,5.747097093603239e-161,774.7614984075055
pga003,0.5950045802037002,2.1060679163109145e-160,772.140412460635
pga004,0.5806648461622086,1.7131547017087601e-152,735.371398243076
pga005,0.607115366738018,3.0877231866459658e-167,803.8927584627045
pga023,0.23713189993949352,1.5457411854280177e-15,81.7606562068009
pga024,0.6287224303459473,8.897901841766237e-180,862.1316217302699
pga025,0.6034814659993352,3.5882339678662604e-165,794.2981278540652
pga026,0.603354788314486,4.232992218239882e-165,793.9646982693816
pga027,0.5872393416603342,4.280205362038462e-156,752.1179468225785
pga028,0.5981681903450485,3.5632392885589488e-162,780.3731061746017
pga029,0.19322439037793074,6.459399683419805e-10,54.28605696368599
psa001,0.5903994137674105,7.67852035335951e-158,760.2343712214231
psa002,0.6135522124981719,6.316010214749431e-171,821.0294183833175
psa003,0.10531873439706697,0.013084102783000498,16.12782007500991
psa004,0.5958425710768923,7.163532043641661e-161,774.3168738959043
psa005,0.1438499910046051,3.783334276921461e-05,30.087360152084308
psa006,0.16199629862157702,1.0466822770038985e-06,38.15703231535054
psa007,0.4318415468938375,5.0218742858606333e-82,406.72841226120784
psa008,0.43513726077584863,2.3477214153066405e-83,412.9602142955249
psa009,0.43152490290256973,6.731612938273131e-82,406.1321709204825
psa010,0.18673669786606323,3.39954714569301e-09,50.701844155705686
psa011,0.08501058527191302,0.10483385915157038,10.507766630429225
psa012,0.07570654169700279,0.21466920725598704,8.333572582616911
pmd001,0.3206474517138972,9.904699524683037e-30,149.4927021745557
pmd002,0.2741212465559031,2.916224389498075e-21,109.25713366062867
pmd003,0.3213860267794314,7.080563026415551e-30,150.1821743159869
pmd004,0.16991146604261106,3.5830636468622466e-10,62.96526562448639
pmd005,0.619930727003027,1.2753756125024869e-174,838.1890658021359
pmd006,0.1900334580013169,2.846103595744741e-13,78.7618317638254
pmd007,0.2519465682462885,1.0100430662073772e-17,92.29566450707283
pmd008,0.2535475531102106,5.7489526897716204e-18,93.47236989460653
pmd009,0.22802542596169859,2.885771407672023e-14,75.60159496281048
pmd010,0.6084466553819404,5.368759841999968e-168,807.4221920635696
pmd011,0.6159905652415889,2.4694262056294384e-172,827.5681850737685
pmd012,0.3099252861396028,1.1810647851993583e-27,139.66205506559112
pmd013,0.2670405777853443,4.2661023558576337e-20,103.68571444743498
pmd014,0.6135460464494844,6.3678929583912235e-171,821.0129161791823
pmd015,0.6397151628356458,2.5014986126246026e-186,892.542602734366
pmd016,0.6339981406813217,6.60147190644176e-183,876.6608940468603
pmd017,0.4632577400370375,3.940018061731007e-95,468.0594672089113
pmd018,0.6335820288743493,1.1680223478668846e-182,875.5105145286427
pmd019,0.6226894743259622,3.1302171775452048e-176,845.6656977126645
pmd020,0.632053835155335,9.465207325096732e-182,871.2921622158915
pmd021,0.6127467761088436,1.8375315100809852e-170,818.8752319689153
pmd022,0.6169887243073523,6.525962913804678e-173,830.2523623967849
pmd035,0.33568804430410343,9.070922685082486e-33,163.84611733098973
psz001,0.4313583135678081,7.852889797479912e-82,405.8186584059425
psz002,0.6013650853694053,5.6475777190229035e-164,788.7367656308489
psz009,0.6100528911285752,6.470589959163296e-169,811.6908398740206
psz010,0.6147920279814054,1.2170616830155422e-171,824.350907357156
psz011,0.599058271496017,1.1263513780864096e-162,782.6972423848423
psz012,0.5963809891100399,3.579780041997835e-161,775.7168897788475
psz013,0.5830232268831473,8.837580229217335e-154,741.3569772089038
psz014,0.589969667079731,1.3283331099682415e-157,759.1280378097618
pad001,0.29798633701482774,1.9795927560925817e-25,129.1091761470861
pad002,0.6155309833300819,4.553884572719333e-172,826.3337717291081
pad004,0.6155758264855441,4.2899986218244464e-172,826.4541775724797
pad005,0.614546048004758,1.6877632276682872e-171,823.6913892029389
pad006,0.6219657591639519,8.291885554865813e-176,843.7011055533848
pad007,0.6207566768316589,4.2107407915466683e-175,840.4240358435957
pad008,0.6156645392982351,3.812102458304563e-172,826.6924012144407
pad009,0.6301402107760505,1.2907608475847295e-180,866.0242505016472
pad010,0.6150979138196656,8.103090271925963e-172,825.1714124595496
pad011,0.6296744229479565,2.435080863983368e-180,864.7444259132703
pad022,0.6027031985256983,9.898067376604532e-165,792.2507483640869
pad023,0.6122460119662857,3.566776293870653e-170,817.5373357667628
pad024,0.6184379598955677,9.414953235430083e-174,834.1572778329859
pad025,0.6131942724730542,1.0153852149741686e-170,820.0717376461866
pad027,0.5979759665438091,4.568394351125414e-162,779.8716345660899
pad028,0.6152827121025054,6.336925548198222e-172,825.66731128644
pad029,0.6191042865456317,3.8596816798492534e-174,835.955746527422
pad031,0.44894158488215763,4.845052433766824e-89,439.57738021421426
pad032,0.6102435291006105,5.031714148623294e-169,812.1982164487947
pad033,0.6313369396500671,2.5213602532389033e-181,869.3167887107998
pad044,0.5826110189901846,1.485064143298582e-153,740.3090423977919
pcd001,0.5993451812920847,7.767599257277614e-163,783.4471436632692
pcd002,0.5871056645278894,5.071322590712293e-156,751.7755667405221
pcd003,0.6042404407548252,1.3322250844272095e-165,796.2972988412598
pcd004,0.5804528521847344,2.2349390423870737e-152,734.8345451820863
pcd007,0.5812780806436222,7.934826924144845e-153,736.9254555471156
pcd008,0.5824754035686758,1.761447323960494e-153,739.9644363579944
pcd009,0.5800485082848202,3.71009470571433e-152,733.8111291522738
pcd012,0.6121056233555962,4.295214346520042e-170,817.1624545270673
pcd013,0.5961501108781387,4.820341206064813e-161,775.1163962007374
pcd014,0.45875624763060446,3.4008103983141656e-93,459.0073598281853
pcd015,0.611171383242816,1.4777365626611757e-169,814.6699325946577
pcd019,0.5876906236715621,2.413683116482462e-156,753.2743670193552
pcd020,0.6103865427695351,4.166314667816783e-169,812.5789466068314
pcd021,0.6170380353191979,6.1103769278279666e-173,830.3850786636857
pcd022,0.5994075324570627,7.16479561556873e-163,783.6101595164232
pcd023,0.592437406804556,5.676281677429149e-159,765.4919186202304
pcd025,0.5980188897729137,4.3218393477118626e-162,779.9835982975231
pcd027,0.6076998067151049,1.4332035186565886e-167,805.4412391329171
pcd028,0.5906526348742154,5.558274319644629e-158,760.8866370178839
pcd029,0.17744412163955747,3.272753361092474e-08,45.78124930664714
pcd039,0.5897984700353209,1.6522698975443396e-157,758.6875350933478
pod001,0.6210642909015125,2.785773399317863e-175,841.2571813373697
pod002,0.62316595586197,1.647227668990113e-176,846.9603984374361
pod003,0.6191337407253644,3.710419703406257e-174,836.0352904008952
pod004,0.6156274822221747,4.004897409626669e-172,826.5928863673938
pod005,0.6259234202637878,3.971193615761717e-178,854.4724592437206
pod006,0.603660893111894,2.839250169004328e-165,794.7705195162486
