Variable,Cramér's V,p-value,χ²
pso001,0.03373851340334431,0.3307608396270298,0.9459167352208118
pso002,0.009599438020091791,0.781992289461439,0.07657599376061613
pso003,0.27639152337275225,1.618405612662023e-15,63.48197985381014
pso004,0.3448555305847326,3.4673635898482473e-22,98.82695502612314
pso005,0.3354170375555359,4.9959630138479624e-21,93.49131352758393
pga001,0.21757048568746198,5.934615855039029e-08,39.3369773973331
pga002,0.2273798892572616,4.682491297804429e-10,42.964041266113625
pga003,0.3178022411079171,5.955635335733206e-19,83.9295577606214
pga004,0.1294882522344756,0.0009426884587190253,13.933549404860255
pga005,0.21831219204347993,2.510412932354448e-09,39.605637164903115
pga023,0.45045499633128416,2.4270257711178155e-37,168.6179637911681
pga024,0.28819831189537,1.0284640390065202e-15,69.02141985983233
pga025,0.336657887150303,3.532926270937318e-21,94.18432090680061
pga026,0.228739312264234,3.6189929943417826e-10,43.47931024232035
pga027,0.285771861098308,1.8344370128443102e-15,67.86407753093582
pga028,0.2584630511008728,8.818906555339616e-13,55.51341663981345
pga029,0.1794991983972565,1.5343644456368163e-06,26.77478860918911
psa001,0.1936829835166961,2.3597943303807682e-08,31.173384524364813
psa002,0.32829868950503016,2.716082005375681e-19,89.56520454002847
psa003,0.272050158766812,4.412761880467707e-14,61.50338106347456
psa004,0.25655845240165637,1.3256204370318665e-12,54.69828102344711
psa005,0.23851311821524956,6.171454714131067e-12,47.2743497829929
psa006,0.0484928371649446,0.16214116420714844,1.9541424179901465
psa007,0.29656445535225645,1.3470791228938625e-16,73.08684570423421
psa008,0.2549076111877235,1.882701513437581e-12,53.996626790629676
psa009,0.26889694527446434,8.964103835495255e-14,60.085926324866705
psa010,0.29296973365376605,3.0285260208033614e-17,71.32578107967882
psa011,0.024912100710299947,0.4726691893180459,0.5157292050559056
psa012,0.06388530937452074,0.0655298277433179,3.391587518472807
pmd001,0.378708021731028,9.555644629515184e-28,119.18182531616932
pmd002,0.3558888153090451,1.0755873983173588e-24,105.25184140438485
pmd003,0.5126836248827358,1.9961956973465236e-49,218.42377885423133
pmd004,0.1637179734841847,2.364139105514518e-06,22.273770693509384
pmd005,0.20607206319775326,2.8423395285898123e-09,35.28899273661099
pmd006,0.24129957397061408,3.501695694845926e-12,48.385377535070276
pmd007,0.3698470637400673,1.5391397145257948e-26,113.66987281299114
pmd008,0.3549375117521777,1.4282654612604205e-24,104.68990955377546
pmd009,0.22583089036726448,7.512928442166193e-11,42.38066015762335
pmd010,0.2205656009092164,2.0405168160775999e-10,40.427472156992735
pmd011,0.35069057452441804,5.0199953139365095e-24,102.19960349908139
pmd012,0.35284974192183144,2.6544433207608727e-24,103.46194345104584
pmd013,0.3568904343037961,7.972939098149014e-25,105.84511992306585
pmd014,0.3188015919575867,4.572228395575155e-19,84.45823213382874
pmd015,0.37227351619810195,9.816618595034861e-26,115.16627138673623
pmd016,0.40296134686912743,5.0005971334578196e-30,134.935990915653
pmd017,0.35862476135144594,6.19580715873999e-24,106.87633886659107
pmd018,0.4704920041613883,6.645016064842715e-42,183.95242528921366
pmd019,0.4069658524890684,1.2994512682757472e-30,137.63122143158014
pmd020,0.37305110423668303,7.715809534040946e-26,115.6478820153053
pmd021,0.17414484129309543,3.3698918749192528e-06,25.20125979741684
pmd022,0.12623727891836448,0.0013316374619679148,13.242691839220463
pmd035,0.39314216874260904,1.1728492787943604e-27,128.43999558506658
psz001,0.16757653979701992,8.563273053445437e-06,23.33605614967437
psz002,0.12731097901242827,0.0011892178293978586,13.46891894837255
psz009,0.16835858872432935,7.677724973815257e-06,23.554374564112983
psz010,0.23383601154087097,1.358810885053989e-10,45.43848192376749
psz011,0.09096661665025718,0.03212144251400988,6.876462961524519
psz012,0.0965764562687945,0.020746588681555142,7.750746893419292
psz013,0.004678344867592098,0.892720211474286,0.018188022791804148
psz014,0.06885011375626919,0.13951118422948694,3.9392210144927535
pad001,0.4485188997275121,5.002032964864119e-37,167.17160803601857
pad002,0.40168384870465135,7.664991427601362e-30,134.0817787917606
pad004,0.40282394629172696,3.571589779663745e-31,134.84398644771935
pad005,0.3043595482585257,1.923630619096284e-17,76.97946446600722
pad006,0.4050666089775389,2.4663661225611223e-30,136.34961385581533
pad007,0.34081551242897834,1.0961408998767321e-21,96.5249824286607
pad008,0.32390099040587067,1.171450158395607e-19,87.18174866788615
pad009,0.41258314973560406,1.9188200601221904e-31,141.45685487541982
pad010,0.3537133763546583,2.6510140534707343e-23,103.96902982074832
pad011,0.4257307879996234,1.968560605935067e-33,150.6160108999984
pad022,0.2584938498472288,9.220065097550002e-14,55.526647509747406
pad023,0.37608031917346196,2.193465079661542e-27,117.5336537762484
pad024,0.4043258137808509,3.164126964087553e-30,135.85135122601383
pad025,0.37775118992500956,1.7807603194286297e-26,118.5803439979911
pad027,0.2350527274515208,1.0720421644706576e-10,45.9125710710735
pad028,0.3499919435389898,7.869939174184559e-23,101.79281361056773
pad029,0.3579761750827972,7.51565261606529e-24,106.4901087412618
pad031,0.349133307872832,1.0099363873543896e-22,101.29396939963355
pad032,0.3483431539204638,1.2698199552186688e-22,100.83599384598566
pad033,0.29581832625946025,1.6186413980148643e-16,72.71954866743818
pad044,0.1841484374173536,7.600559181559875e-07,28.179747659703235
pcd001,0.15262933002988288,1.0832249860366086e-05,19.358736992243227
pcd002,0.14029632691650296,5.2472491257296156e-05,16.356622316743945
pcd003,0.14976026096852438,1.5805702609526307e-05,18.6377808210146
pcd004,0.004678344867592098,0.892720211474286,0.018188022791804148
pcd007,0.004678344867592098,0.892720211474286,0.018188022791804148
pcd012,0.050595111816926094,0.14470033454668463,2.1272480973465884
pcd013,0.004678344867592098,0.892720211474286,0.018188022791804148
pcd014,0.15310421628602566,1.0169107330869846e-05,19.479388768027803
pcd015,0.15597308063630905,6.916338453525023e-06,20.216237164923047
pcd019,0.004678344867592098,0.892720211474286,0.018188022791804148
pcd020,0.11484132553409994,0.0009311647523805373,10.959668471906596
pcd021,0.20165869249446422,4.5899214127179636e-08,33.79363568287739
pcd022,0.19457165553929592,2.03580335713337e-08,31.46010531476032
pcd023,0.1890766679272018,5.022093053330116e-08,29.708238660550723
pcd025,0.1726411818100285,6.46642404234862e-07,24.767936432770313
pcd027,0.1810812513782075,1.788825395867988e-07,27.248838688179685
pcd028,0.07329140617108236,0.03461989847477734,4.463824711602227
pcd029,0.004678344867592098,0.892720211474286,0.018188022791804148
pcd039,0.048604379668703825,0.16117762832406374,1.9631425357959724
pod001,0.40260189955224146,5.639912171640121e-30,134.69536859367378
pod002,0.3909755613127523,2.607175622361555e-28,127.02823021091584
pod003,0.3501415139677915,7.534854186841628e-23,101.87983531683905
pod004,0.339280804470594,1.6912595439408015e-21,95.65762681851936
pod005,0.31570609321144594,1.0340741957446574e-18,82.8260502886832
pod006,0.3275481638684405,4.365012721916037e-20,89.15616151213058
pod007,0.5034123067993793,1.0185642401489123e-47,210.59530297940722
pod008,0.4607081786170355,2.9891224606626435e-40,176.38143347688444
pod009,0.38841248147396856,5.979185373841939e-28,125.36819654052053
pod010,0.21439314034304782,5.078672445335635e-09,38.19643187833381
pod011,0.2920762047604185,4.0377024814772743e-16,70.89137130080469
pod012,0.2905031870416089,5.9088028019248265e-16,70.12983649718689
pal001,0.02583613238805787,0.4564047197449205,0.554697267258573
pmj001,0.004678344867592098,0.892720211474286,0.018188022791804148
psu002,0.0,1.0,0.0
psu011,0.0,1.0,0.0
pni001,0.04074749608931155,0.5016367981549187,1.3797578616027704
pni002,0.05852551992710962,0.09158041551803184,2.8463715171556982
