Variable,Cramér's V,p-value,χ²
pso001,0.10799793486770186,0.021370096919395717,9.692413320557037
pso002,0.057101423596533814,0.4386092147755861,2.7095358112799053
pso003,0.3368520066103624,2.6197313837628354e-20,94.29296699102237
pso004,0.2592049266749782,9.131180046601986e-22,111.66511644890933
pso005,0.2582152582369738,1.3766004690536084e-21,110.81404875257529
pga001,0.1631943975314914,1.5041843583298626e-09,66.39460158446644
pga002,0.18277159644767507,3.6398562423080997e-10,55.519868649868826
pga003,0.2559166146152358,3.548699128066311e-21,108.84988726323662
pga004,0.12299014615930531,0.00032161157038422235,25.140369398901466
pga005,0.19250434751716497,2.137783221143188e-11,61.59026937722166
pga023,0.38201816724251053,1.602790124122597e-49,242.54875673172901
pga024,0.24650169066663344,1.5607392629578427e-19,100.98824477950737
pga025,0.2833617403071552,2.4132149550430894e-26,133.44842169577325
pga026,0.20782300996442715,1.7610596464068535e-13,71.78245056826084
pga027,0.2436522587515295,4.7598120253591375e-19,98.66699534962842
pga028,0.24863480787984796,6.71164949594269e-20,102.74362289986406
pga029,0.17166680504753387,7.53089889232044e-09,48.978295629588935
psa001,0.20548184459510652,1.1676863292069787e-07,35.08713720877044
psa002,0.2103512778410517,1.2718469278795526e-19,110.30941660278278
psa003,0.22839042966176729,1.4711203739490607e-16,86.69355705612605
psa004,0.20527470469695108,4.025897479905737e-13,70.03286469355481
psa005,0.2777616210914219,7.764134453150606e-14,64.11291158375907
psa006,0.08550831723617958,0.1079706539399809,6.075999695063957
psa007,0.2594202271753568,8.349210327876918e-22,111.85069579294021
psa008,0.20671333794293395,2.52782419847628e-13,71.01793158679298
psa009,0.23199896154600042,3.932702437496092e-17,89.45468717929832
psa010,0.32249252579854637,1.2829502790138962e-18,86.42518766181459
psa011,0.14111315625022816,0.00087544990443417,16.54763890239499
psa012,0.09425676199071317,0.0606452609119167,7.3828841973893535
pmd001,0.45829291091855345,1.333953744931547e-37,174.5369179167052
pmd002,0.435536563528327,5.9385078717863825e-34,157.63413357932353
pmd003,0.5429180113275438,8.109433727068099e-53,244.94553259682345
pmd004,0.20249088307482171,1.9120000020074818e-07,34.073125472317955
pmd005,0.21032160038405817,5.173467462660842e-08,36.75943091372062
pmd006,0.312128490900988,1.9107724191559518e-17,80.95950590549849
pmd007,0.41077465754855125,3.389525150122354e-30,140.21946582511166
pmd008,0.4517609996794839,1.554673550017024e-36,169.59712869089893
pmd009,0.25528545045471274,1.0388928488272158e-11,54.156819468722304
pmd010,0.28508710947285926,1.4356585911949562e-14,67.53924244968734
pmd011,0.4368547889577075,3.6936456890111325e-34,158.58979061392034
pmd012,0.4586897492794561,1.1477518852343805e-37,174.83931374415582
pmd013,0.44266449176177214,4.477879401740946e-35,162.8359892336344
pmd014,0.280511839140251,8.815767528657293e-26,130.77761433422015
pmd015,0.3364547377829629,6.32019722486451e-38,188.14137593831305
pmd016,0.3267243509656512,1.2000063352686399e-35,177.41650811614505
pmd017,0.29252644339883116,3.4066061889634387e-28,142.22019878554062
pmd018,0.5098403155473668,1.464469590703784e-46,216.0077694540314
pmd019,0.35715969205693,5.25382991067191e-43,212.00978183739417
pmd020,0.30027064517570407,8.323365282033982e-30,149.85000910873623
pmd021,0.16352018487880376,6.046188994898452e-08,44.439970133970554
pmd022,0.13147130947158644,6.851151411023216e-05,28.727180065956613
pmd035,0.29158675973808257,1.0236381814826568e-40,211.96193626720387
psz001,0.15111709707164014,1.1468314101334733e-06,37.95405861947151
psz002,0.11334173546826183,0.0015865392976841476,21.350632036267267
psz009,0.15415355271925626,5.724674541894112e-07,39.49463421013968
psz010,0.20334750881593025,7.467135013382637e-13,68.72404792581372
psz011,0.13246150575686566,5.670037909243232e-05,29.161535943259164
psz012,0.08865029597566729,0.04207042537891507,13.061450211065011
psz013,0.08749514479393697,0.09528182673414018,6.361637701247468
psz014,0.09914711544269755,0.01205166508135584,16.33771013200982
pad001,0.3505454755013834,2.385899105082433e-41,204.23010071564403
pad002,0.31441115906757544,7.283141371256645e-33,164.29597448461135
pad004,0.4422298058981519,5.248810596076179e-35,162.5163442177399
pad005,0.23690555634834923,6.308470264634936e-18,93.27849124893409
pad006,0.30737110406191576,2.5308134149494357e-31,157.0207667075446
pad007,0.25685174206606476,2.4167798987483645e-21,109.6468225227427
pad008,0.24467557490652916,3.194313970683356e-19,99.49751962060701
pad009,0.3092876080882643,9.714062328700214e-32,158.98496634718708
pad010,0.30658920515844607,3.733731598700528e-31,156.22291547612102
pad011,0.3546661591937641,2.2335827954936038e-42,209.05979640120017
pad022,0.44683926494889525,9.660639554383142e-36,165.92188814975736
pad023,0.5321755492881548,9.647607441835768e-51,235.34818748118408
pad024,0.3610727237434484,5.308046679351872e-44,216.68077666397397
pad025,0.42679295803925493,2.1196971412045972e-62,302.73700465101314
pad027,0.23011966173309006,7.839816527088941e-17,88.01130758624429
pad028,0.35703161709245274,5.6607014542010574e-43,211.8577586532693
pad029,0.3907911154353425,6.268658200191207e-52,253.81681059111708
pad031,0.3083249778281495,1.5726062388010416e-31,157.99685322543542
pad032,0.3280624983614493,5.888223015047353e-36,178.8727547053811
pad033,0.28743252665469804,3.70195618872134e-27,137.31021416407037
pad044,0.13964571420660465,1.3611269519958306e-05,32.41053817480523
pcd001,0.2539664350043372,1.3665013158751897e-11,53.59862754042295
pcd002,0.24944100895287688,3.460750291951353e-11,51.70549888331367
pcd003,0.1915814304031335,1.0828735384165517e-06,30.50056235898318
pcd004,0.08749514479393697,0.09528182673414018,6.361637701247468
pcd007,0.08749514479393697,0.09528182673414018,6.361637701247468
pcd012,0.11452318630481138,0.012284574562854247,10.899030527368833
pcd013,0.0774473569064279,0.17294189171620444,4.984415359278841
pcd014,0.2365775073129688,4.4178655951851787e-10,46.5101699990932
pcd015,0.17137511986668721,2.054964406621612e-05,24.40599775044609
pcd019,0.048692013927437945,0.5786089209433567,1.9702280550774527
pcd020,0.08791971650484659,0.09272767603166897,6.423527413293145
pcd021,0.18584811633622128,1.5127745246009814e-10,57.404686138589355
pcd022,0.28843725305752543,6.535354883930182e-15,69.13591667858927
pcd023,0.18725013394702397,2.0957571281180555e-06,29.13703112310127
pcd025,0.2676510352389767,7.405678971424445e-13,59.53041070819612
