Variable,Cramér's V,p-value,χ²
pso001,0.1322224860606212,0.0046038180063599785,25.419970582354395
pso002,0.0975853375515428,0.1801187799629721,13.846293844740593
pso003,0.24422671018235456,2.381594642867318e-14,86.7262813952849
pso004,0.2591530420936547,1.6069864133842135e-16,97.65107507517916
pso005,0.596647107162813,9.309637318685589e-156,776.4093274294278
pga001,0.5927451286187078,1.348797402542737e-153,766.2873435401356
pga002,0.5945292986143365,1.3920277350348646e-154,770.9073545525744
pga003,0.6041046644681974,6.28008180959637e-160,795.939473923901
pga004,0.5835544207119538,1.4522412251510277e-148,742.708496774704
pga005,0.615382544757145,2.4469731826195998e-166,825.9352702104715
pga023,0.27734197334803534,2.2698865736399146e-19,111.83960104256673
pga024,0.6218465607636905,4.569775519682226e-170,843.3777495364475
pga025,0.6162600128686546,7.670502607555715e-167,828.2923359481671
pga026,0.6085937748764357,1.825662522858418e-162,807.8127009268208
pga027,0.60894904543595,1.1477540662607797e-162,808.7561080033704
pga028,0.6069943320728118,1.4702802359980114e-161,803.5722619065399
pga029,0.19921155294688114,9.835098891042397e-09,57.70234307119668
psa001,0.5977676121354832,2.2164564790398097e-156,779.3282636157016
psa002,0.6260993525762794,1.5303044509248363e-172,854.9528708655272
psa003,0.13492779557623188,0.0031559986400632243,26.47081156771531
psa004,0.6066892406719175,2.187433312022644e-161,802.764671583355
psa005,0.20596318334041633,1.7407379542585317e-09,61.6798910245579
psa006,0.17690623855993448,1.7634500426928943e-06,45.50411826903115
psa007,0.4338771682212817,4.145169806206603e-78,410.5719350832098
psa008,0.4436466871474386,4.8138890790002605e-82,429.26961735985293
psa009,0.4456974893453739,6.992461969058042e-83,433.24747563112675
psa010,0.2680236759430911,6.983196819627643e-18,104.45054851923251
psa011,0.12642836510887767,0.009891373168246105,23.240927206966745
psa012,0.12369360059570855,0.013897602271946943,22.246355328392795
pmd001,0.35417546254901405,7.471636634296257e-34,182.39013552720894
pmd002,0.3424672242546557,2.153923360753091e-31,170.53064474735328
pmd003,0.3278059463716465,1.9312549565047515e-28,156.2420977449921
pmd004,0.17102373986668362,5.556790961419375e-08,63.7923298432098
pmd005,0.6220126285880222,3.660749502024377e-170,843.8282677782213
pmd006,0.21676134726763438,4.421158425163663e-15,102.47533552069964
pmd007,0.2647218251733248,2.2763598332708258e-17,101.8928954273821
pmd008,0.27402389461241633,7.808985461568845e-19,109.17954386618136
pmd009,0.2227187522627617,1.7218619033232786e-11,72.12369635418598
pmd010,0.6269055369673341,5.171531618045573e-173,857.1560145233375
pmd011,0.6196288414376467,8.78422883439176e-169,837.3729243893071
pmd012,0.33788224052429405,1.8700908986699327e-30,165.9950499033364
pmd013,0.33431183085205335,9.844045785405629e-30,162.50543796008589
pmd014,0.6306953745342135,3.0927861707784116e-175,867.5508855557559
pmd015,0.6510416381616316,2.0818387132837048e-187,924.4282230866145
pmd016,0.6666580692523055,5.0862371316114806e-197,969.3083322135809
pmd017,0.46810458760527107,2.649063158954458e-92,477.904874667817
pmd018,0.6256944174645723,2.637536369655935e-172,853.8473323250468
pmd019,0.63211727641974,4.494110705638226e-176,871.4670797544641
pmd020,0.6430082551973648,1.485385961245366e-182,901.7554230455235
pmd021,0.6141684798405374,1.2147110534392137e-165,822.6795720742374
pmd022,0.6124528125876687,1.1625008582511068e-164,818.0897143171169
pmd035,0.42176376797742027,8.243593712722351e-50,258.64431887275526
psz001,0.43254069085406643,1.4080351985808147e-77,408.046450802283
psz002,0.6045478160869855,3.5353139366250945e-160,797.1076530814206
psz009,0.6141467686975278,1.2499823002023152e-165,822.6214088870219
psz010,0.6189670867748062,2.1177195691345307e-168,835.5852750873796
psz011,0.5981371929184357,1.379803314112694e-156,780.2922294856666
psz012,0.6007163115054419,5.0082730070423366e-158,787.0358495478815
psz013,0.5831451470031821,2.422319066483729e-148,741.6670704544043
psz014,0.5913080203823382,8.35908248578851e-153,762.5761266062542
pad001,0.30130491673806875,1.8241612420525554e-23,132.00088524467722
pad002,0.6255517903795057,3.19472493129332e-172,853.458107576918
pad004,0.6186348015111472,3.2931013081216476e-168,834.6883674744463
pad005,0.6265807155269647,8.008107081767927e-173,856.2680002862874
pad006,0.6237992962771344,3.354021482972601e-171,848.6828508001847
pad007,0.6332775453579169,9.28191107728952e-177,874.6692202603705
pad008,0.6258006677929907,2.2865444911434873e-172,854.137343741944
pad009,0.6318341022630803,6.601297954337182e-176,870.6864597988346
pad010,0.6197323624621283,7.653884741189548e-169,837.6527465617847
pad011,0.6412132323526938,1.7694305218520216e-181,896.7277667796777
pad022,0.6093795378842985,6.537856706565627e-163,809.9000016199291
pad023,0.6175626467825058,1.3662814089497962e-167,831.7976811109115
pad024,0.6317895809100466,7.01255393502033e-176,870.5637605858996
pad025,0.6143907953646788,9.060631000198283e-166,823.2752638043056
pad027,0.6007630565674172,4.715496013481539e-158,787.1583415471085
pad028,0.6114404917956003,4.393916977021592e-164,815.3875149908027
pad029,0.6314054196765547,1.1810639468424441e-175,869.5053855172961
pad031,0.4647655534755745,7.21195846558206e-91,471.111309960154
pad032,0.6203677889320272,3.284445412114723e-169,839.3713581203629
pad033,0.6415109131673005,1.1738381694342206e-181,897.560564985494
pad044,0.5911070424119563,1.0784251359150313e-152,762.0578351196314
pcd001,0.6005630001016067,6.102012619408557e-158,786.6341751755637
pcd002,0.6053304765462288,1.2801255490222833e-160,799.172894107628
pcd003,0.6071683546973267,1.1720524804525755e-161,804.0330892729177
pcd004,0.5822985758866778,6.971370652396434e-148,739.5152282571233
pcd007,0.5881615818147358,4.4637520928025376e-151,754.4821550300533
pcd008,0.5914245572782554,7.21092996119294e-153,762.876738161833
pcd009,0.5853815755008785,1.4727093368624734e-149,747.3667354691779
pcd012,0.6320068843679628,5.2209586871086445e-176,871.1627228188175
