Variable,Cramér's V,p-value,χ²
pso001,0.05981755795173514,0.7357170415354004,5.202615907955565
pso002,0.08736088320690842,0.1962735150232903,11.096817371960851
pso003,0.2230048351036693,1.7026390092728479e-12,72.30910152135982
pso004,0.23789780268970687,1.6898709114419984e-14,82.28966001875487
pso005,0.5885147699349936,6.049964675630289e-154,755.3885526954035
pga001,0.588409462043381,6.913137534261012e-154,755.1182408433768
pga002,0.5957373833824655,6.0773732264133756e-158,774.0435083414224
pga003,0.604923638578802,4.230724255795133e-163,798.0990191634007
pga004,0.5810792472216473,7.004039081770117e-150,736.4213926742061
pga005,0.6146556722594172,1.1869319957220474e-168,823.9852796561145
pga023,0.2748819449049323,4.059871004177006e-20,109.86436160488032
pga024,0.6179993612807207,1.3993960833773272e-170,832.9745221951092
pga025,0.6074183952824602,1.6287214686956129e-164,804.6954502089192
pga026,0.6043836761940381,8.546662423155949e-163,796.6748687766573
pga027,0.6015040365177083,3.594905277439247e-161,789.1012980706178
pga028,0.6068587042262906,3.3862583303361385e-164,803.2131989184584
pga029,0.20529181348562694,2.6146266703145976e-10,61.27843550685217
psa001,0.5959975572578368,4.3527548075431106e-158,774.7197454891897
psa002,0.6188320684762936,4.613249409401008e-171,835.2207742937076
psa003,0.15402198938146952,3.306595777329589e-05,34.492912251739085
psa004,0.6106224317152297,2.4341740939175255e-166,813.2071237222422
psa005,0.21835574065870095,6.693829927357218e-12,69.32559966189875
psa006,0.17474059652976745,4.786924433051658e-07,44.39683741389183
psa007,0.4352940964768922,5.882148842277931e-81,413.25795288266966
psa008,0.4490141003649666,1.4375964849486659e-86,439.719397534228
psa009,0.43973522457027614,9.396122234067622e-83,421.7335747144871
psa010,0.2851172104976843,7.805148378613337e-22,118.19831169176011
psa011,0.11587273684048009,0.012303436862491168,19.522118121781183
psa012,0.1183655789340713,0.009019509935232406,20.371136541882496
pmd001,0.3353689642045594,2.9140083011437155e-31,163.53478548848315
pmd002,0.3359369861301268,2.2307565189692827e-31,164.0892196773806
pmd003,0.2931083108562277,3.1938540719220476e-23,124.91674867240889
pmd004,0.1696367117093534,7.04865637738461e-09,62.76179504580534
pmd005,0.6234870647679588,9.071135976838657e-174,847.8334775737964
pmd006,0.19888702029795416,2.5908170864493997e-13,86.27173816458046
pmd007,0.24660570423771944,9.70976062289331e-16,88.42409886919359
pmd008,0.27557340652401763,3.124383289593805e-20,110.41778126524764
pmd009,0.227484987955264,4.40841516287972e-13,75.24365630923961
pmd010,0.6269101163516777,9.001219729046581e-176,857.1685371792656
pmd011,0.617558824043013,2.5155625042660153e-170,831.7873834155416
pmd012,0.34662291382829113,1.3371854036245378e-33,174.6943841442449
pmd013,0.3250886123376362,3.3739438770856324e-29,153.66250893732078
pmd014,0.6256690533804464,4.807706177994706e-175,853.7781080647628
pmd015,0.6487244378793813,8.387841028427452e-189,917.8594473344858
pmd016,0.6549895126942177,1.2503010189020731e-192,935.6735618536504
pmd017,0.46433999446054647,4.713427968410292e-93,470.24896602370796
pmd018,0.6210905349614273,2.25715751231146e-172,841.3282801613235
pmd019,0.6265615980322335,1.4414084362493034e-175,856.2157501967081
pmd020,0.6371212615849872,8.156010129501117e-182,885.3191577827112
pmd021,0.61592820112502,2.196611356039991e-169,827.400624240546
pmd022,0.6152627626447406,5.309827804063673e-169,825.6137705390768
pmd035,0.39718476009241094,4.0111514941244535e-45,229.37683672661439
psz001,0.43308823631945714,4.516192347735802e-80,409.0801819759278
psz002,0.6076829049215124,1.1521674303937593e-164,805.3964367087224
psz009,0.6148888689101408,8.715181663583998e-169,824.6106283400208
psz010,0.6199377237520873,1.0545714377232388e-171,838.207986082735
psz011,0.6006856422926091,1.0369224949885332e-160,786.9554883079925
psz012,0.6015659594452069,3.3178095084354298e-161,789.2637773714094
psz013,0.5826663610891089,9.603461285026689e-151,740.4496926800606
psz014,0.5915255491186917,1.3220157355303088e-155,763.1372985424304
pad001,0.28375537410266094,1.332667842273425e-21,117.07188133093311
pad002,0.621739064441225,9.470171994974627e-173,843.0861915341566
pad004,0.6118052759833055,5.127908215749989e-167,816.3607223675198
pad005,0.6213733127858311,1.5457506879762723e-172,842.0945553703579
pad006,0.623800406637163,5.953103488853736e-174,848.6858721064248
pad007,0.6271269178447815,6.714891353517625e-176,857.7615011374654
pad008,0.6181642183969491,1.1235217516794091e-170,833.4189889766644
pad009,0.6311355471848323,2.9232172571023735e-178,868.7622641251694
pad010,0.6166130558103692,8.847041210660784e-170,829.2416317594431
pad011,0.6315894202562253,1.5759732390976182e-178,870.0122319952964
pad022,0.6103354198607717,3.550402530721377e-166,812.4428372505779
pad023,0.6202493176370879,6.954058174113725e-172,839.0508001598449
pad024,0.6300687937124821,1.246543902741576e-177,865.8279595712696
pad025,0.6229578248907,1.8467160153661967e-173,846.3947409233558
pad027,0.6003551218097849,1.5898848894115662e-160,786.08969984975
pad028,0.6154405067006326,4.195001816146187e-169,826.0908647049782
pad029,0.631376482661581,2.105978374729119e-178,869.4256892935372
pad031,0.46675388701922504,4.278764673107362e-94,475.1508956747186
