Variable,Cramér's V,p-value,χ²
pso001,0.10363774853057026,0.00022716512374789215,33.46827958023349
pso002,0.06368841217375006,0.244552042329031,12.639162341685187
pso003,0.22487385078966984,1.0276903941870373e-28,157.57066316412516
pso004,0.19886945152123825,2.492661442873269e-31,184.8523005898259
pso005,0.6024884961334107,0.0,1696.6264213862642
pga001,0.26020780403799454,5.6291666770064395e-77,421.95688719114
pga002,0.49934682219241966,4.307228834553347e-239,1165.4490410485641
pga003,0.5082845295400128,3.923460071967306e-248,1207.5426837204345
pga004,0.4794387044267395,1.5202964356463025e-219,1074.3725168673732
pga005,0.5163485705833687,1.9779407854833218e-256,1246.1624658094636
pga023,0.25292483272836574,9.018053830913965e-55,299.0003185038799
pga024,0.37461739564110097,4.505491234045647e-130,655.9407146284896
pga025,0.3715524002380048,8.485813723205812e-128,645.2512439371375
pga026,0.3222715772885496,6.784327521887015e-94,485.4368235741038
pga027,0.33777630054511476,5.1158892985309796e-104,533.2698837272769
pga028,0.3438586499352284,3.993887354822528e-108,552.6480162862892
pga029,0.16396989147982816,1.4951366073585227e-19,125.66574970785157
psa001,0.4309338414584916,2.5031089704401388e-175,867.9803824880419
psa002,0.36479132954948246,7.554825851146682e-123,621.9818657710753
psa003,0.13621487568523932,4.034912879480881e-12,86.72369728103587
psa004,0.3413831723849521,1.9160595359408426e-106,544.7195065917075
psa005,0.2237749240854639,2.131401488249264e-28,156.0343750797022
psa006,0.2454860574499157,5.661027777923786e-35,187.78076811757714
psa007,0.517072527776065,3.505711257207427e-257,1249.65933123593
psa008,0.401221262986664,1.2335855564749707e-150,752.4135177525968
psa009,0.4446333552515732,2.515634456390115e-187,924.0442874950179
psa010,0.22095552567343274,1.3602163646396686e-27,152.12730891864126
psa011,0.12193986223535395,1.2482024860208083e-06,46.33283228616065
psa012,0.1689529642368499,8.66189562041709e-15,88.94654445168737
pmd001,0.36501542023983985,5.561622833523003e-83,415.1641768520932
pmd002,0.3377958215039503,2.6392058380578508e-70,355.55434905154726
pmd003,0.36131574120368976,3.374565189400727e-81,406.7908860463375
pmd004,0.19861881682977928,3.095549198127176e-31,184.38665638027823
pmd005,0.45690671013655365,2.107426009284247e-198,975.7617290227377
pmd006,0.22201359043603006,1.3345673229688811e-40,230.38162049720157
pmd007,0.3070915315636526,3.092399837523436e-57,293.8550304902703
pmd008,0.3373819029532043,4.039565547857957e-70,354.6835249400538
pmd009,0.2932324064374893,9.131732460441117e-52,267.9300208808368
pmd010,0.47365685989653183,5.088288872380263e-214,1048.6157370129981
pmd011,0.46417823082919885,4.120231672503622e-205,1007.0667237065386
pmd012,0.3939581149642927,1.3987650134237592e-97,483.6125366148181
pmd013,0.32483501788259345,1.2514287215343512e-64,328.7934300341174
pmd014,0.5368256436278774,4.238297214609089e-278,1346.9616007224104
pmd015,0.6520939713884286,0.0,1987.5088831137746
pmd016,0.6481418583502102,0.0,1963.4906975824333
pmd017,0.5425498144641442,2.6068168513681258e-284,1375.840047692311
pmd018,0.47784311723331796,5.168907273227204e-218,1067.2333248682273
pmd019,0.6416306252433727,0.0,1924.2384021354414
pmd020,0.6317944880052757,0.0,1865.6938216951676
pmd021,0.6132420415540188,0.0,1757.7315563481395
pmd022,0.6137243351003522,0.0,1760.4974330766825
pmd035,0.3347114345914656,5.6175543330095974e-102,523.6363735418984
psz001,0.48730677087181257,3.577300830663173e-227,1109.9249128939368
psz002,0.6049646499075763,0.0,1710.60093197906
psz009,0.6210681295452145,0.0,1802.8815550629627
psz010,0.6294132010600425,0.0,1851.6564096232676
psz011,0.6003093113734776,0.0,1684.3753128096205
psz012,0.597555271510956,0.0,1668.9559419342286
psz013,0.5812265028528042,0.0,1578.9905333688725
psz014,0.5859527215979037,0.0,1604.7739267649074
